Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD GIGABYTE B660M DS3H AX DDR4, WIFI, LGA 1700",19,699.2,https://www.sercoplus.com/socket-1700/13726-mainboard-gigabyte-b660m-ds3h-ax-ddr4-w.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME Z690-P WIFI D4, LGA 1700",12,1048.8,https://www.sercoplus.com/socket-1700/13345-mainboard-asus-prime-z690-p-wifi-d4-lga.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS ROG STRIX B660-AGAMING WIFI D4, LGA 1700",5,1062.1,https://www.sercoplus.com/socket-1700/13394-mainboard-asus-rog-strix-b660-agaming-wi.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME H610M-K D4, LGA 170",20,429.02,https://www.sercoplus.com/socket-1700/13781-mainboard-asus-prime-h610m-k-d4-lga-170.html
Sercoplus,MB,LGA1700-12,LGA1700,-,MAINBOARD MSI MAG B660M MORTAR WIFI DDR4,13,760.0,https://www.sercoplus.com/socket-1700/13432-mainboard-msi-mag-b660m-mortar-wifi-ddr4.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI PRO H610M-G DDR4, LGA 1700",14,413.82,https://www.sercoplus.com/socket-1700/13787-mainboard-msi-pro-h610m-g-ddr4-lga-1700.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASROCK H610M HDV/M.2, LGA 1700",9,418.0,https://www.sercoplus.com/socket-1700/13433-mainboard-asrock-h610m-hdv-m-2-lga-1700.html
Sercoplus,MB,LGA1700-12,LGA1700,-,MAINBOARD ASUS TUF GAMING B660M-PLUS WIF,10,805.6,https://www.sercoplus.com/socket-1700/13818-mainboard-asus-tuf-gaming-b660m-plus-wif.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME Z690-A, LGA 1700",6,1307.2,https://www.sercoplus.com/socket-1700/13472-mainboard-asus-prime-z690-a-lga-1700.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD GIGABYTE Z690 AORUS ELITE AX, DDR5, WIFI",8,1542.8,https://www.sercoplus.com/socket-1700/13488-mainboard-gigabyte-z690-aorus-elite-ax.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME PRIME Z690-P WIFI, LGA 1700",7,1086.8,https://www.sercoplus.com/socket-1700/13547-mainboard-asus-prime-prime-z690-p-wifi.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME B450M-A-II AM4 AMD,10,342.0,https://www.sercoplus.com/socket-amd-am4/11609-mainboard-asus-prime-b450m-a-ii-am4-amd.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD MSI A320M A PRO MAX AM4 AMD,20,177.84,https://www.sercoplus.com/socket-amd-am4/10969-mainboard-msi-a320m-a-pro-max.html
