Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
CyC,Almacenamiento,-,SSD,1TB,SSD 1TB KINGSTON FURY RENEGADE M.2 2280 NVMe PCIe ,10,831.6,https://cyccomputer.pe/ssd-m2-2280-pcie/20835-ssd-1tb-kingston-fury-renegade-m2-2280-nvme-pcie-pnsfyrs1000g.html
CyC,Almacenamiento,-,SSD,2TB,SSD 2TB KINGSTON NV1 M.2 2280 NVMe PCIe ,8,748.44,https://cyccomputer.pe/ssd-m2-2280-pcie/20502-ssd-2tb-kingston-nv1-m2-2280-nvme-pcie-pnsnvs2000g.html
CyC,Almacenamiento,-,DISCO,1TB,"DISCO DURO 1TB EXTERNO SEAGATE BASIC BLACK 2.5"" USB 3.0 ",8,183.33,https://cyccomputer.pe/disco-duro-externo-/19946-disco-duro-1tb-externo-seagate-basic-black-25-usb-30-pnstjl1000400.html
CyC,Almacenamiento,-,SSD,240GB,SSD 240GB EXTERNO IMATION EXPRESS PRO PORTABLE WHITE USB 3.1 ,8,192.78,https://cyccomputer.pe/ssd-externo/18523-ssd-240gb-externo-imation-express-pro-portable-white-usb-31-pnim240gpsdv01c1n2b.html
CyC,Almacenamiento,-,SSD,1TB,SSD 1TB WESTERN DIGITAL BLACK SN770 M.2 2280 NVMe PCIe GEN4 ,7,669.06,https://cyccomputer.pe/ssd-m2-2280-pcie/21292-ssd-1tb-western-digital-black-sn770-m2-2280-nvme-pcie-gen4-pnwds100t3x0e-00b3n0.html
CyC,Almacenamiento,-,SSD,1024GB,SSD 1024GB KINGSTON KC3000 M.2 2280 NVMe PCIe ,6,831.6,https://cyccomputer.pe/ssd-m2-2280-pcie/20909-ssd-1024gb-kingston-kc3000-m2-2280-nvme-pcie-pnskc3000s1024g.html
CyC,Almacenamiento,-,SSD,500GB,SSD 500GB KINGSTON FURY RENEGADE M.2 2280 NVMe PCIe ,6,510.3,https://cyccomputer.pe/ssd-m2-2280-pcie/20834-ssd-500gb-kingston-fury-renegade-m2-2280-nvme-pcie-pnsfyrs500g.html
CyC,Almacenamiento,-,SSD,512GB,SSD 512GB KINGSTON KC3000 M.2 2280 NVMe PCIe ,5,510.3,https://cyccomputer.pe/ssd-m2-2280-pcie/20833-ssd-512gb-kingston-kc3000-m2-2280-nvme-pcie-pnskc3000s512g.html
CyC,GPU,-,-,8GB,MSI RADEON RX 6600 XT MECH 2X 8GB GDDR6 128BITS OC ,10,1946.7,https://cyccomputer.pe/amd-radeon/21256-msi-radeon-rx-6600-xt-mech-2x-8gb-gddr6-128bits-oc-pn912-v502-015.html
CyC,GPU,-,-,4GB,ASROCK RADEON RX 6500 XT PHANTOM GAMING D 4GB GDDR6 64BITS OC ,10,1247.4,https://cyccomputer.pe/amd-radeon/21026-asrock-radeon-rx-6500-xt-phantom-gaming-d-4gb-gddr6-64bits-oc-pn90-ga3dzz-00uanh.html
CyC,GPU,-,-,4GB,ZOTAC GAMING GEFORCE GTX 1650 4GB GDDR6 128BITS AMP CORE ,10,1130.22,https://cyccomputer.pe/nvidia-geforce/20597-zotac-gaming-geforce-gtx-1650-4gb-gddr6-128bits-amp-core-pn9288-2n583-200z8.html
CyC,GPU,-,-,6GB,ZOTAC GAMING GEFORCE RTX 2060 6GB GDDR6 192BITS ,10,1549.8,https://cyccomputer.pe/nvidia-geforce-rtx/21172-zotac-gaming-geforce-rtx-2060-6gb-gddr6-192bits-pn9288-6n527-220z8.html
CyC,GPU,-,-,4GB,MSI GEFORCE GT 730 4GB DDR3 64BITS ,10,536.76,https://cyccomputer.pe/nvidia-geforce/20381-msi-geforce-gt-730-4gb-ddr3-64bits-pn912-v809-3851.html
CyC,GPU,-,-,8GB,ASROCK RADEON RX 6600 XT CHALLENGER D 8GB GDDR6 128BITS OC ,10,1886.26,https://cyccomputer.pe/amd-radeon/21187-asrock-radeon-rx-6600-xt-challenger-d-8gb-gddr6-128bits-oc-pn90-ga2tzz-00uanh.html
CyC,GPU,-,-,12GB,PNY GEFORCE RTX 3060 12GB GDDR6 192BITS XLR8 GAMING OEM ,10,2135.7,https://cyccomputer.pe/nvidia-geforce-rtx/21359-pny-geforce-rtx-3060-12gb-gddr6-192bits-xlr8-gaming-oem-pngmr3061n4jcet1bktp.html
CyC,GPU,-,-,2GB,MSI GEFORCE GT 730 2GB DDR3 64BITS LP ,10,415.8,https://cyccomputer.pe/nvidia-geforce/20351-msi-geforce-gt-730-2gb-ddr3-64bits-lp-pn912-v809-3860.html
CyC,GPU,-,-,2GB,BOETEC GEFORCE GT610 2GB GDDR3 64BITS,10,238.14,https://cyccomputer.pe/nvidia-geforce/20619-boetec-geforce-gt610-2gb-gddr3-64bits.html
CyC,GPU,-,-,1GB,BOETEC GEFORCE G210LP 1GB GDDR3 64BITS,10,158.76,https://cyccomputer.pe/nvidia-geforce/14803-boetec-geforce-g210lp-1gb-gddr3-64bits.html
CyC,GPU,-,-,1GB,MSI GEFORCE GT 710 1GB 64BITS DDR3 ,10,234.36,https://cyccomputer.pe/nvidia-geforce/18574-msi-geforce-gt-710-1gb-64bits-ddr3-pngt-710-1gd3h-lp.html
CyC,GPU,-,-,4GB,MSI GEFORCE GTX 1050 Ti 4GB GDDR5 128BITS OC ,10,1285.2,https://cyccomputer.pe/nvidia-geforce/20311-msi-geforce-gtx-1050-ti-4gb-gddr5-128bits-oc-pn912-v809-2272.html
